tip,distance,company,local,dow,month,hour
no,0.4,other,yes,Fri,Mar,17
no,0.96,Taxicab Insurance Agency Llc,no,Mon,Apr,8
no,1.07,Sun Taxi,no,Fri,Feb,15
no,1.13,other,no,Sat,Feb,14
no,10.81,Sun Taxi,no,Sat,Apr,14
no,3.6,Chicago Independents,no,Wed,Mar,12
no,1.08,Flash Cab,yes,Wed,Mar,13
no,0.85,Taxicab Insurance Agency Llc,no,Tue,Mar,8
no,17.92,City Service,no,Tue,Jan,20
no,0,City Service,yes,Sun,Apr,16
no,0.52,City Service,yes,Fri,Apr,20
no,4.4,City Service,no,Fri,Feb,8
no,1.92,Sun Taxi,no,Fri,Mar,15
no,10,Taxi Affiliation Services,no,Thu,Apr,15
no,17.16,Taxicab Insurance Agency Llc,no,Fri,Mar,12
no,0,Flash Cab,yes,Tue,Feb,0
no,17.17,Flash Cab,no,Sun,Jan,19
no,1,other,yes,Fri,Mar,18
no,30.6,Taxi Affiliation Services,no,Fri,Jan,15
no,3.44,Taxicab Insurance Agency Llc,no,Sat,Apr,11
no,0,Sun Taxi,yes,Thu,Apr,14
no,10.3,other,no,Mon,Mar,22
no,1.51,Sun Taxi,no,Sun,Apr,13
no,6.26,Flash Cab,no,Tue,Apr,15
no,1.35,Taxicab Insurance Agency Llc,no,Wed,Mar,9
no,18.1,other,no,Sun,Apr,16
no,1.95,Chicago Independents,no,Thu,Mar,8
no,8.99,Sun Taxi,no,Tue,Feb,20
no,2.09,City Service,no,Thu,Mar,21
no,3.32,Taxicab Insurance Agency Llc,no,Mon,Apr,11
no,17.1,Taxi Affiliation Services,no,Mon,Mar,21
no,2.68,Flash Cab,no,Tue,Mar,15
no,19.88,Taxicab Insurance Agency Llc,no,Tue,Mar,18
no,2.7,Taxi Affiliation Services,no,Mon,Mar,20
no,0.97,Taxicab Insurance Agency Llc,no,Mon,Apr,12
no,0.6,other,no,Wed,Apr,7
no,0.1,Taxi Affiliation Services,no,Wed,Feb,15
no,0.55,other,yes,Tue,Apr,11
no,2.78,Sun Taxi,no,Thu,Apr,17
no,5.41,Flash Cab,no,Fri,Jan,7
no,1.6,Sun Taxi,yes,Tue,Feb,17
no,1,other,no,Thu,Mar,18
no,2.54,Taxicab Insurance Agency Llc,no,Wed,Mar,19
no,17.79,other,no,Wed,Feb,15
no,1.6,other,no,Thu,Mar,7
no,1.1,other,no,Fri,Feb,9
no,1.05,City Service,no,Tue,Feb,17
no,18.06,Flash Cab,no,Mon,Jan,20
no,0.9,Taxi Affiliation Services,no,Thu,Jan,23
no,3.9,other,no,Fri,Mar,13
no,2.1,Taxi Affiliation Services,no,Tue,Mar,18
no,3.05,other,no,Wed,Apr,16
no,1.88,Sun Taxi,no,Sat,Feb,18
no,1.38,Taxicab Insurance Agency Llc,no,Thu,Jan,16
no,1.45,Taxicab Insurance Agency Llc,yes,Fri,Apr,11
no,5.9,other,no,Wed,Apr,13
no,0.3,other,yes,Thu,Apr,16
no,16.9,Chicago Independents,no,Tue,Feb,13
no,5.7,other,no,Thu,Mar,18
no,1.29,other,no,Mon,Jan,8
no,0.1,Taxi Affiliation Services,no,Mon,Feb,17
no,0.7,Sun Taxi,yes,Tue,Feb,17
no,0,Taxi Affiliation Services,yes,Wed,Jan,7
no,0.45,Taxicab Insurance Agency Llc,no,Mon,Feb,9
no,1.44,Chicago Independents,no,Tue,Mar,16
no,10.78,Taxicab Insurance Agency Llc,no,Thu,Mar,23
no,9.2,Taxi Affiliation Services,yes,Thu,Mar,9
no,1.49,Sun Taxi,no,Wed,Jan,8
no,15.84,Taxicab Insurance Agency Llc,yes,Sun,Mar,15
no,0,other,no,Sat,Mar,20
no,6.1,Taxi Affiliation Services,no,Tue,Mar,13
no,1.21,City Service,no,Sat,Mar,19
no,0.91,City Service,yes,Thu,Apr,21
no,0,Taxi Affiliation Services,yes,Tue,Feb,18
no,9.78,City Service,no,Tue,Apr,8
no,1.8,other,no,Fri,Jan,15
no,19.1,City Service,no,Sun,Feb,17
no,18.24,Taxicab Insurance Agency Llc,no,Thu,Mar,8
no,15.95,other,no,Thu,Jan,19
no,10.72,Sun Taxi,no,Fri,Mar,9
no,6.42,other,no,Fri,Feb,13
no,1.5,Taxi Affiliation Services,yes,Tue,Mar,15
no,0.8,Taxi Affiliation Services,yes,Fri,Jan,14
no,30.8,Taxi Affiliation Services,no,Mon,Jan,12
no,1.9,Taxicab Insurance Agency Llc,no,Thu,Jan,8
no,1.27,Flash Cab,no,Fri,Jan,14
no,2.24,Taxicab Insurance Agency Llc,no,Wed,Mar,16
no,0,Taxi Affiliation Services,no,Tue,Apr,11
no,7.09,Taxicab Insurance Agency Llc,no,Fri,Apr,18
no,1.67,other,no,Thu,Mar,8
no,18.57,Taxicab Insurance Agency Llc,no,Fri,Feb,15
no,1.81,Sun Taxi,no,Tue,Jan,8
no,0.93,City Service,no,Mon,Jan,12
no,1.83,Flash Cab,no,Thu,Jan,14
no,2.05,Sun Taxi,no,Thu,Apr,16
no,1.1,Taxi Affiliation Services,no,Fri,Jan,12
no,0.62,other,yes,Tue,Jan,10
no,2.82,Flash Cab,no,Thu,Feb,10
no,17.08,City Service,no,Mon,Mar,12
no,0.98,Flash Cab,no,Mon,Apr,8
no,17.79,City Service,no,Thu,Feb,13
no,2.1,other,no,Mon,Apr,14
no,0,Taxi Affiliation Services,no,Thu,Mar,18
no,3.54,Sun Taxi,no,Fri,Mar,19
no,1.22,City Service,no,Sun,Mar,15
no,9.83,Flash Cab,no,Sun,Apr,10
no,1.1,other,yes,Tue,Jan,16
no,17.3,Taxi Affiliation Services,no,Sat,Apr,20
no,1.2,other,yes,Tue,Jan,16
no,12.12,Flash Cab,no,Tue,Mar,22
no,20.91,other,yes,Sun,Mar,7
no,16.95,other,no,Sun,Apr,18
no,2.79,Taxicab Insurance Agency Llc,no,Tue,Mar,22
no,1.92,Sun Taxi,no,Wed,Jan,8
no,19.07,Flash Cab,no,Mon,Apr,11
no,0,Taxi Affiliation Services,yes,Thu,Jan,20
no,0.56,City Service,yes,Thu,Mar,17
no,11.8,Taxi Affiliation Services,no,Wed,Mar,14
no,1.06,City Service,yes,Fri,Apr,18
no,3.36,Flash Cab,no,Mon,Apr,11
no,17.37,other,no,Thu,Apr,18
no,16.81,other,no,Fri,Jan,13
no,16.85,City Service,no,Fri,Mar,16
no,0,other,yes,Mon,Mar,18
no,1.74,Taxicab Insurance Agency Llc,no,Thu,Apr,9
no,9.95,Flash Cab,no,Mon,Jan,13
no,7.24,Chicago Independents,no,Fri,Apr,19
no,3.73,City Service,no,Mon,Mar,15
no,17.5,Taxi Affiliation Services,no,Sat,Apr,12
no,11.51,Sun Taxi,no,Mon,Jan,14
no,17.62,Taxicab Insurance Agency Llc,no,Fri,Apr,17
no,0,Taxi Affiliation Services,no,Fri,Apr,15
no,18.28,City Service,no,Wed,Jan,19
no,0.1,Taxi Affiliation Services,no,Wed,Mar,17
no,0.7,other,yes,Mon,Jan,11
no,1.35,other,no,Thu,Apr,17
no,0.26,Sun Taxi,no,Thu,Feb,20
no,20.28,other,no,Mon,Apr,10
no,1.54,Taxicab Insurance Agency Llc,no,Thu,Apr,21
no,1.51,other,yes,Wed,Jan,19
no,2.51,Sun Taxi,no,Wed,Apr,17
no,1.92,other,no,Fri,Feb,18
no,1.1,Taxi Affiliation Services,no,Wed,Feb,14
no,1.27,other,no,Wed,Feb,8
no,1.56,City Service,no,Sat,Apr,19
no,0.1,Taxi Affiliation Services,no,Fri,Mar,9
no,11.21,Chicago Independents,no,Thu,Mar,14
no,1.2,Flash Cab,no,Fri,Mar,12
no,0,City Service,yes,Fri,Apr,12
no,1.39,Taxicab Insurance Agency Llc,yes,Thu,Jan,17
no,17.1,other,no,Thu,Apr,7
no,2.7,Sun Taxi,no,Tue,Mar,15
no,0,other,no,Fri,Mar,7
no,1.03,Flash Cab,yes,Mon,Feb,9
no,3.13,other,no,Wed,Feb,17
no,9.3,other,no,Fri,Mar,16
no,0,Flash Cab,no,Tue,Feb,9
no,1.01,Flash Cab,yes,Mon,Jan,10
no,0.8,Taxi Affiliation Services,no,Mon,Apr,16
no,1.01,Flash Cab,yes,Tue,Mar,14
no,1.04,other,yes,Fri,Apr,11
no,1,Taxi Affiliation Services,yes,Tue,Jan,9
no,0.72,Taxicab Insurance Agency Llc,no,Tue,Jan,8
no,1.1,City Service,no,Tue,Feb,14
no,0.48,Taxicab Insurance Agency Llc,yes,Thu,Jan,8
no,1.98,Flash Cab,no,Tue,Jan,16
no,0.2,Taxi Affiliation Services,no,Mon,Mar,11
no,0,City Service,yes,Wed,Mar,23
no,18.12,Flash Cab,no,Thu,Jan,16
no,11.67,Flash Cab,no,Mon,Jan,10
no,0.5,other,no,Fri,Apr,13
no,8.6,Taxi Affiliation Services,no,Fri,Mar,10
no,1.8,Taxi Affiliation Services,no,Tue,Feb,16
no,5.53,Flash Cab,no,Mon,Jan,14
no,5.7,Taxi Affiliation Services,no,Thu,Mar,8
no,1.55,City Service,no,Tue,Apr,8
no,1,other,no,Tue,Apr,18
no,17.73,Flash Cab,no,Wed,Apr,18
no,0.9,Taxi Affiliation Services,no,Sat,Mar,9
no,7.5,other,no,Wed,Mar,14
no,10.22,Sun Taxi,no,Wed,Feb,17
no,16.28,other,no,Tue,Jan,0
no,1.63,other,no,Fri,Apr,17
no,0,Flash Cab,no,Fri,Jan,8
no,3.02,Flash Cab,no,Mon,Feb,14
no,1.04,Flash Cab,no,Wed,Apr,22
no,2.36,Flash Cab,no,Wed,Jan,21
no,2.14,other,no,Wed,Jan,11
no,6.78,City Service,no,Mon,Mar,9
no,0.4,other,no,Thu,Feb,22
no,4.48,City Service,no,Mon,Feb,10
no,3.45,Flash Cab,no,Sat,Apr,12
no,2.85,Chicago Independents,no,Tue,Mar,14
no,3.42,Taxicab Insurance Agency Llc,no,Sat,Apr,18
no,0.68,Flash Cab,yes,Wed,Mar,9
no,5.89,other,no,Tue,Mar,9
no,0.02,Taxicab Insurance Agency Llc,yes,Fri,Apr,13
no,1.5,Taxi Affiliation Services,yes,Tue,Apr,15
no,9.16,other,no,Thu,Mar,11
no,1.04,City Service,yes,Mon,Jan,10
no,1.02,Flash Cab,yes,Thu,Feb,10
no,16.95,City Service,no,Mon,Mar,18
no,0.76,City Service,yes,Thu,Feb,16
no,11.12,City Service,no,Sun,Apr,17
no,1.2,City Service,yes,Mon,Apr,11
no,0.56,Sun Taxi,yes,Sat,Mar,12
no,0.41,other,yes,Fri,Jan,17
no,0,Flash Cab,yes,Thu,Mar,17
no,6.9,Taxi Affiliation Services,no,Tue,Mar,15
no,1.58,other,no,Thu,Apr,18
no,1.99,other,no,Thu,Apr,9
no,0.7,Taxi Affiliation Services,yes,Thu,Feb,21
no,1.39,City Service,no,Mon,Apr,17
no,1.6,other,no,Wed,Jan,20
no,0.3,Taxi Affiliation Services,no,Sat,Apr,23
no,0.7,Taxi Affiliation Services,yes,Sat,Jan,15
no,2.52,Flash Cab,no,Mon,Jan,18
no,2.79,Taxicab Insurance Agency Llc,no,Mon,Feb,10
no,13.85,Flash Cab,yes,Sun,Jan,6
no,1.1,Taxi Affiliation Services,yes,Wed,Mar,8
no,0.03,City Service,yes,Sat,Apr,22
no,1.02,Chicago Independents,yes,Fri,Apr,10
no,0.7,Taxi Affiliation Services,no,Tue,Jan,9
no,1.77,Chicago Independents,no,Wed,Jan,17
no,0.55,Sun Taxi,yes,Mon,Feb,13
no,1,Taxi Affiliation Services,no,Tue,Apr,20
no,1.6,other,no,Sat,Mar,13
no,0.4,Taxi Affiliation Services,no,Wed,Mar,16
no,1.45,Chicago Independents,no,Mon,Feb,8
no,3.09,Taxicab Insurance Agency Llc,no,Sat,Apr,18
no,0.36,Sun Taxi,yes,Fri,Jan,16
no,0,other,yes,Mon,Mar,15
no,18.4,Taxi Affiliation Services,no,Mon,Apr,14
no,2.99,other,no,Fri,Feb,18
no,0,other,yes,Thu,Apr,10
no,1.79,Taxicab Insurance Agency Llc,no,Mon,Mar,17
no,1.27,Sun Taxi,yes,Thu,Feb,12
no,17.15,other,no,Mon,Apr,12
no,10.15,other,no,Tue,Mar,14
no,8.62,Flash Cab,no,Fri,Feb,15
no,2.26,Sun Taxi,no,Tue,Jan,13
no,17.2,Chicago Independents,no,Tue,Apr,10
no,13,other,no,Fri,Jan,15
no,0,Flash Cab,no,Mon,Apr,12
no,0.7,Taxi Affiliation Services,no,Mon,Mar,14
no,0,Taxicab Insurance Agency Llc,yes,Mon,Apr,11
no,1.65,City Service,no,Fri,Apr,19
no,0,Taxi Affiliation Services,no,Wed,Mar,10
no,3.38,Flash Cab,no,Wed,Apr,18
no,0,City Service,yes,Thu,Feb,13
no,4.63,Flash Cab,no,Mon,Mar,15
no,0.9,Taxi Affiliation Services,yes,Wed,Apr,0
no,1,Taxi Affiliation Services,no,Sun,Apr,8
no,0.32,Sun Taxi,yes,Thu,Apr,15
no,0.65,other,yes,Thu,Mar,6
no,2.52,City Service,no,Mon,Mar,7
no,17.62,City Service,no,Wed,Feb,19
no,12.85,Taxicab Insurance Agency Llc,no,Wed,Apr,9
no,0.81,other,yes,Wed,Jan,19
no,0.1,Taxi Affiliation Services,no,Sat,Apr,15
no,9.6,Flash Cab,yes,Sat,Jan,12
no,2.71,City Service,no,Sun,Mar,8
no,6.27,Flash Cab,no,Fri,Jan,11
no,1.07,City Service,no,Thu,Feb,17
no,12.96,Taxicab Insurance Agency Llc,no,Sun,Mar,10
no,15,Taxi Affiliation Services,no,Thu,Feb,19
no,1.2,Taxi Affiliation Services,no,Sat,Mar,22
no,0.7,other,yes,Tue,Jan,9
no,0,Flash Cab,no,Fri,Mar,21
no,4.57,Sun Taxi,no,Mon,Feb,7
no,1.28,City Service,no,Mon,Feb,18
no,0,Taxicab Insurance Agency Llc,yes,Fri,Apr,13
no,1.77,other,no,Thu,Apr,18
no,1.3,Taxi Affiliation Services,yes,Wed,Mar,11
no,5.48,Chicago Independents,no,Sat,Mar,15
no,17.26,Sun Taxi,no,Tue,Mar,8
no,0.7,other,yes,Wed,Apr,15
no,19.06,Flash Cab,no,Mon,Mar,14
no,4.9,Taxi Affiliation Services,no,Sat,Mar,12
no,1.16,Taxicab Insurance Agency Llc,no,Tue,Jan,15
no,1.34,Taxicab Insurance Agency Llc,no,Thu,Mar,19
no,9.68,Sun Taxi,no,Fri,Jan,18
no,1.75,Sun Taxi,no,Thu,Mar,10
no,0.97,Taxicab Insurance Agency Llc,yes,Thu,Mar,21
no,6.28,Flash Cab,no,Wed,Mar,14
no,1.56,Taxicab Insurance Agency Llc,no,Fri,Apr,8
no,0.3,Taxi Affiliation Services,no,Wed,Apr,15
no,35.5,other,no,Wed,Feb,18
no,2.6,Taxi Affiliation Services,no,Wed,Feb,8
no,17.84,City Service,no,Sun,Jan,19
no,12.16,Flash Cab,no,Sat,Apr,16
no,1.17,City Service,no,Tue,Jan,16
no,0.7,Sun Taxi,no,Mon,Jan,16
no,10.29,Sun Taxi,no,Thu,Jan,19
no,1.4,other,no,Sat,Feb,1
no,1.03,other,yes,Fri,Jan,20
no,9.1,Taxi Affiliation Services,no,Sat,Apr,15
no,0,City Service,yes,Tue,Feb,14
no,17.7,Taxi Affiliation Services,no,Fri,Mar,14
no,4.7,Taxi Affiliation Services,no,Fri,Feb,18
no,12.31,other,no,Fri,Mar,12
no,7,Taxi Affiliation Services,no,Tue,Mar,9
no,0.1,Taxi Affiliation Services,no,Tue,Apr,12
no,10.68,Flash Cab,yes,Mon,Apr,16
no,14.1,Flash Cab,no,Mon,Apr,15
no,1.03,Flash Cab,no,Fri,Feb,18
no,1.68,Chicago Independents,no,Wed,Jan,17
no,0.77,Sun Taxi,yes,Thu,Feb,8
no,1.8,Taxi Affiliation Services,no,Sun,Jan,15
no,0.1,Taxi Affiliation Services,no,Mon,Jan,15
no,0.6,Chicago Independents,no,Tue,Apr,20
no,2.68,Sun Taxi,no,Sat,Apr,23
no,0,Taxi Affiliation Services,no,Mon,Mar,13
no,0.02,Sun Taxi,yes,Fri,Mar,12
no,1.99,Taxicab Insurance Agency Llc,no,Fri,Apr,22
no,0,Taxi Affiliation Services,no,Sat,Jan,17
no,0.52,Flash Cab,yes,Wed,Mar,13
no,6.6,Taxi Affiliation Services,no,Fri,Apr,15
no,1.3,Taxi Affiliation Services,no,Fri,Feb,11
no,0.15,Taxicab Insurance Agency Llc,yes,Tue,Mar,11
no,2,other,no,Tue,Mar,13
no,18.74,Sun Taxi,no,Mon,Apr,18
no,6.6,other,no,Thu,Mar,13
no,0,other,yes,Thu,Apr,15
no,2.74,Flash Cab,no,Mon,Mar,8
no,0.65,Flash Cab,no,Tue,Mar,6
no,0,other,no,Thu,Feb,8
no,0.6,Taxi Affiliation Services,yes,Tue,Apr,12
no,0.99,other,yes,Sat,Jan,19
no,12.2,City Service,yes,Wed,Jan,6
no,11.1,City Service,yes,Sun,Jan,19
no,1.87,Taxicab Insurance Agency Llc,no,Sat,Apr,20
no,2.52,City Service,no,Thu,Feb,16
no,6.72,Sun Taxi,no,Thu,Mar,14
no,6.03,other,no,Thu,Apr,13
no,1.01,Sun Taxi,yes,Mon,Jan,15
no,1.9,other,no,Sun,Mar,18
no,1.03,City Service,yes,Fri,Feb,17
no,1.66,other,no,Tue,Mar,16
no,0,other,yes,Sun,Apr,18
no,4.21,Taxicab Insurance Agency Llc,no,Fri,Feb,17
no,9.52,Taxicab Insurance Agency Llc,no,Thu,Mar,12
no,1.31,Taxicab Insurance Agency Llc,no,Mon,Apr,18
no,11.74,other,no,Mon,Mar,14
no,10.53,City Service,no,Wed,Mar,13
no,2.34,other,no,Wed,Feb,7
no,18.76,Chicago Independents,no,Tue,Feb,16
no,2.14,Chicago Independents,no,Tue,Mar,11
no,2.08,other,no,Tue,Mar,23
no,1.03,Chicago Independents,yes,Mon,Apr,16
no,11.6,Sun Taxi,yes,Tue,Jan,22
no,20.1,Chicago Independents,no,Tue,Mar,14
no,7.9,other,no,Mon,Mar,13
no,9.7,Taxi Affiliation Services,no,Wed,Apr,15
no,0,Chicago Independents,yes,Sat,Mar,8
no,1.23,Taxicab Insurance Agency Llc,yes,Tue,Mar,15
no,0.79,Chicago Independents,yes,Fri,Feb,9
no,0,Taxicab Insurance Agency Llc,yes,Fri,Apr,13
no,0,Taxicab Insurance Agency Llc,yes,Fri,Apr,13
no,0.61,Taxicab Insurance Agency Llc,no,Thu,Apr,14
no,0,other,yes,Fri,Apr,10
no,1.86,Taxicab Insurance Agency Llc,no,Wed,Jan,11
no,2.85,other,no,Mon,Apr,19
no,18.28,Sun Taxi,no,Wed,Mar,12
no,0.34,City Service,yes,Thu,Mar,14
no,0.1,Taxi Affiliation Services,no,Fri,Mar,15
no,0.76,other,yes,Fri,Apr,23
no,0,Taxi Affiliation Services,no,Wed,Mar,13
no,0.63,Taxicab Insurance Agency Llc,yes,Sat,Mar,14
no,1.11,Taxicab Insurance Agency Llc,yes,Tue,Apr,10
no,1.35,other,no,Tue,Feb,8
no,1.24,Sun Taxi,no,Wed,Jan,8
no,1.1,Taxi Affiliation Services,no,Fri,Feb,7
no,0,other,yes,Wed,Apr,21
no,0.81,Taxicab Insurance Agency Llc,no,Sun,Apr,16
no,6.42,Sun Taxi,no,Fri,Feb,8
no,0.4,Chicago Independents,yes,Fri,Mar,11
no,2.82,other,yes,Fri,Mar,16
no,1,Taxi Affiliation Services,no,Mon,Feb,13
no,1.15,Flash Cab,no,Mon,Feb,12
no,0.87,Flash Cab,yes,Mon,Feb,15
no,0.6,Taxi Affiliation Services,yes,Mon,Apr,22
no,0,Taxi Affiliation Services,yes,Tue,Apr,16
no,0.3,Taxi Affiliation Services,no,Mon,Mar,9
no,18.44,Sun Taxi,no,Sat,Feb,14
no,0.6,Sun Taxi,yes,Tue,Mar,18
no,1.18,Flash Cab,no,Wed,Apr,18
no,0.6,other,yes,Thu,Mar,14
no,1.3,Taxi Affiliation Services,no,Tue,Feb,19
no,1.37,Sun Taxi,no,Sat,Mar,14
no,4.3,Taxi Affiliation Services,no,Wed,Mar,15
no,1.81,Flash Cab,no,Tue,Mar,19
no,1.1,Taxi Affiliation Services,no,Wed,Mar,21
no,0,other,yes,Thu,Mar,16
no,0.1,Taxi Affiliation Services,yes,Tue,Mar,11
no,0.88,Flash Cab,yes,Tue,Apr,11
no,0,other,yes,Sat,Apr,11
no,5.3,Taxi Affiliation Services,no,Fri,Mar,20
no,3.4,Taxi Affiliation Services,yes,Tue,Apr,14
no,0.5,Taxicab Insurance Agency Llc,yes,Thu,Feb,15
no,0.1,Taxi Affiliation Services,no,Tue,Mar,12
no,1.56,Chicago Independents,yes,Sat,Jan,13
no,12.62,Taxicab Insurance Agency Llc,no,Thu,Mar,14
no,0,Taxi Affiliation Services,yes,Tue,Jan,14
no,0.2,other,yes,Sun,Mar,19
no,10.85,Flash Cab,no,Tue,Feb,13
no,0,other,yes,Wed,Jan,17
no,0.89,City Service,no,Sun,Apr,18
no,1.62,other,no,Mon,Mar,16
no,12.79,Taxicab Insurance Agency Llc,no,Wed,Apr,19
no,0.6,Flash Cab,yes,Sat,Jan,15
no,0.2,Taxi Affiliation Services,no,Tue,Jan,17
no,16.49,other,no,Tue,Mar,21
no,1.6,Flash Cab,yes,Sat,Mar,15
no,11.6,Sun Taxi,no,Sun,Mar,16
no,17.73,Taxicab Insurance Agency Llc,no,Sun,Apr,9
no,2.3,Taxi Affiliation Services,yes,Fri,Mar,12
no,1.14,other,no,Thu,Mar,8
no,1.79,other,no,Wed,Apr,14
no,2.11,Flash Cab,no,Mon,Mar,10
no,1.1,Taxi Affiliation Services,no,Fri,Mar,20
no,1.09,City Service,no,Tue,Apr,8
no,2.78,Taxicab Insurance Agency Llc,no,Tue,Mar,15
no,17.9,other,no,Thu,Jan,15
no,2.85,Flash Cab,no,Thu,Mar,9
no,0.74,Flash Cab,no,Tue,Feb,10
no,0.48,other,no,Sat,Mar,19
no,0,Flash Cab,no,Mon,Mar,15
no,3.7,Taxi Affiliation Services,no,Wed,Feb,12
no,1.78,other,no,Thu,Mar,16
no,0,Taxi Affiliation Services,no,Sun,Apr,18
no,2.2,Taxi Affiliation Services,yes,Wed,Feb,9
no,0.84,Taxicab Insurance Agency Llc,yes,Sat,Mar,20
no,18.75,Flash Cab,no,Mon,Mar,12
no,18.1,other,no,Fri,Jan,6
no,3.25,Taxicab Insurance Agency Llc,no,Fri,Apr,10
no,7.9,Taxi Affiliation Services,no,Sat,Apr,17
no,2.68,Flash Cab,no,Thu,Jan,7
no,7.15,Flash Cab,no,Fri,Mar,12
no,1.5,other,no,Wed,Apr,17
no,11.35,Flash Cab,no,Tue,Mar,12
no,1.9,Taxi Affiliation Services,no,Thu,Apr,15
no,1.41,Flash Cab,yes,Thu,Feb,18
no,0,Taxicab Insurance Agency Llc,yes,Fri,Apr,18
no,21.43,Taxicab Insurance Agency Llc,no,Mon,Mar,20
no,0.2,Taxi Affiliation Services,no,Thu,Jan,8
no,0.77,Flash Cab,no,Thu,Jan,8
no,0.4,Taxi Affiliation Services,yes,Tue,Jan,18
no,17.2,Taxi Affiliation Services,no,Sat,Jan,12
no,0,Taxi Affiliation Services,no,Thu,Apr,13
no,8.2,Taxi Affiliation Services,no,Fri,Feb,18
no,0,Taxi Affiliation Services,yes,Tue,Jan,17
no,1.78,other,no,Wed,Apr,8
no,2.05,Chicago Independents,yes,Fri,Mar,11
no,1.71,Sun Taxi,no,Fri,Feb,10
no,2.62,Sun Taxi,no,Fri,Feb,15
no,1.59,other,no,Thu,Apr,10
no,2.27,Sun Taxi,no,Thu,Mar,8
no,16.92,Sun Taxi,no,Sun,Mar,18
no,2.89,Flash Cab,no,Tue,Feb,12
no,0.01,City Service,yes,Tue,Mar,12
no,1.1,other,no,Thu,Jan,19
no,17.24,other,no,Thu,Apr,12
no,1,Chicago Independents,yes,Thu,Feb,19
no,0.61,other,yes,Tue,Apr,13
no,2.15,City Service,no,Tue,Mar,10
no,1.6,Taxi Affiliation Services,no,Sat,Mar,14
no,3.28,other,no,Sat,Apr,14
no,0.88,City Service,yes,Sun,Mar,17
no,9.6,Taxi Affiliation Services,no,Wed,Feb,14
no,0,Taxi Affiliation Services,no,Thu,Apr,18
no,0,other,no,Mon,Mar,17
no,1.6,Taxi Affiliation Services,no,Mon,Jan,15
no,3.4,City Service,no,Sat,Apr,14
no,6.26,Flash Cab,no,Wed,Feb,9
no,1.68,Taxicab Insurance Agency Llc,no,Tue,Feb,12
no,2.77,Taxicab Insurance Agency Llc,no,Sun,Jan,13
no,0.57,other,yes,Wed,Apr,18
no,11.25,Flash Cab,no,Wed,Jan,20
no,0,Taxicab Insurance Agency Llc,yes,Wed,Feb,11
no,1.82,Chicago Independents,no,Fri,Apr,15
no,3.92,Sun Taxi,no,Wed,Apr,15
no,3.5,Taxi Affiliation Services,no,Wed,Feb,13
no,0,Taxi Affiliation Services,yes,Tue,Mar,8
no,1.45,Sun Taxi,no,Fri,Mar,8
no,2,other,no,Fri,Feb,9
no,11.79,Flash Cab,no,Fri,Feb,9
no,18.12,Sun Taxi,no,Thu,Jan,19
no,3.28,other,no,Fri,Apr,10
no,0.36,other,yes,Tue,Feb,8
no,1,Taxi Affiliation Services,no,Tue,Apr,16
no,12.25,Taxicab Insurance Agency Llc,no,Mon,Apr,10
no,10.21,Flash Cab,no,Tue,Jan,14
no,18.15,other,no,Sat,Apr,16
no,10.93,Sun Taxi,no,Fri,Jan,10
no,3.23,City Service,no,Tue,Feb,17
no,1,Taxi Affiliation Services,no,Tue,Apr,9
no,19.55,City Service,no,Fri,Feb,13
no,8.29,other,no,Sat,Feb,21
no,18.22,Sun Taxi,no,Tue,Apr,20
no,1.83,Flash Cab,no,Thu,Mar,17
