stats_experience,programming_experience,programming_languages,learn_best,data_interests
"Yes, I have taken a high school statistics course",Some — I’ve worked on a few projects or used it occasionally,"I've used Python, Java, and C. I'm pretty comfortable with Python and Java, but I'm not confident with coding in C.",Practice,"Crime,Economics,Education,Entertainment (e.g.\, books\, movies\, music),Politics,Sports"
"Yes, I have taken a high school statistics course",None,NA,I learn best with lectures that I can refer back to and lots of practice questions before moving on to the next topic.,"Entertainment (e.g.\, books\, movies\, music),Politics,Sports"
"No, I have not taken any statistics courses",None,Python (CS101),"Consuming new material on my own (aka watching videos, lectures, etc) and practicing alongside others.","Economics,Health (e.g.\, social determinants of health\, medical),Other"
"No, I have not taken any statistics courses",Some — I’ve worked on a few projects or used it occasionally,NA,"I am a visual and auditory learner, so being able to have instructions or knowledge spoken to me, as well as a set of visuals, will ensure the best learning for me.","Crime,Entertainment (e.g.\, books\, movies\, music),Environment/Climate,Health (e.g.\, social determinants of health\, medical),Sports"
"Yes, I have taken a high school statistics course",None,NA,I learn best through practice problems in which the instructor first demonstrates solving a problem and then has us attempt a similar problem on our own.,"Crime,Economics,Entertainment (e.g.\, books\, movies\, music),Politics"
"No, I have not taken any statistics courses",Some — I’ve worked on a few projects or used it occasionally,"Most familiar to least: Java, Mathematica, Python, Matlab, React",Through exercises and peer collaboration,"Health (e.g.\, social determinants of health\, medical),Sports"
"Yes, I have taken a high school statistics course",A little — I’ve written a few lines or done small exercises,"Java, slightly comfortable",I learn the best by doing. Working on the projects or assignments with tutors to learn one on one. ,"Entertainment (e.g.\, books\, movies\, music),Sports"
"No, I have not taken any statistics courses",Some — I’ve worked on a few projects or used it occasionally,NA,I learn best seeing something done first then working on problems after myself/ with people,"Health (e.g.\, social determinants of health\, medical),Other"
"Yes, I have taken a high school statistics course",None,Python 3 - compsci 101,Attend lectures and do homework,"Crime,Economics,Entertainment (e.g.\, books\, movies\, music),Environment/Climate,Health (e.g.\, social determinants of health\, medical),Sports"
"No, I have not taken any statistics courses",Some — I’ve worked on a few projects or used it occasionally,Python - I've used it very little.,"I learn best through solving practice problems in groups, and then trying to solve ones with similar/greater difficulty on my own. It has been my experience that you can only learn technical stuff (math, statistics...) by struggling through problems. ","Environment/Climate,Health (e.g.\, social determinants of health\, medical),Sports"
"No, I have not taken any statistics courses",A little — I’ve written a few lines or done small exercises,NA,"I learn best by listening, reading, and applying what I've learned by completing homework or tasks.","Crime,Education,Entertainment (e.g.\, books\, movies\, music),Health (e.g.\, social determinants of health\, medical),Politics"
"No, I have not taken any statistics courses",None,"Java - not very comfortable.

Python - even less comfortable!","I learn best by watching lectures and taking notes, and then practicing what I learned. ","Crime,Economics,Health (e.g.\, social determinants of health\, medical)"
"Yes, I have taken a high school statistics course",A little — I’ve written a few lines or done small exercises,no,"I personally love lecture style classes, and if I'm in an environment where I can listen intently to someone standing and explaining a concept, I will learn a lot.

I love graphs, charts, presentations, but I pick most things up well by ear and by jotting them down. I find myself having ""dumb"" questions sometimes, but usually I can pick up on things pretty fast once those are cleared up.","Crime,Economics,Education,Entertainment (e.g.\, books\, movies\, music),Politics"
"No, I have not taken any statistics courses",None,"I have used html and R, however, I did not program extensively in either language and am not confident in my coding skills.","I learn best when I get tested on my knowledge, especially when it's working on a project.","Environment/Climate,Health (e.g.\, social determinants of health\, medical),Politics"
"Yes, I have taken a high school statistics course",None,"I've used Java, C#, C, and Python in the past. I'm most comfortable in Java, C#, and Python, and not very comfortable with C.",Visually and repetition ,"Education,Entertainment (e.g.\, books\, movies\, music),Health (e.g.\, social determinants of health\, medical),Sports"
"Yes, I have taken another college course on statistics",None,"Python, but I don't remember anything","Talking through problems, going step - by - step","Crime,Education,Entertainment (e.g.\, books\, movies\, music),Politics"
"Yes, I have taken a high school statistics course",A lot — I use programming regularly and feel confident writing code,"Python, Java, C++, JavaScript, Rust",doing,"Education,Entertainment (e.g.\, books\, movies\, music),Environment/Climate"
"No, I have not taken any statistics courses",None,I have used Python and am not very comfortable. ,Practice and rewriting/organizing notes,"Crime,Economics,Education,Politics"
"No, I have not taken any statistics courses",Some — I’ve worked on a few projects or used it occasionally,"I've used Java and Python. I feel comfortable with it, but I will need a refresher.","Lectures and step-by-step guidance is helpful. Additionally, I enjoy working in groups. ","Economics,Environment/Climate,Politics,Sports"
"Yes, I have taken a high school statistics course",None,"I took statistics as my core math class last year. We coded with R; however, we used CourseKata, which is much simpler. ",I learn best when I feel I don't need to worry about asking questions or feeling insecure when I'm not certain whether I am doing everything right.,"Economics,Politics,Sports"
"No, I have not taken any statistics courses",None,NA,Engaging teaching and helpful and straightforward study materials,"Crime,Health (e.g.\, social determinants of health\, medical),Sports"
"Yes, I have taken a high school statistics course",A lot — I use programming regularly and feel confident writing code,NA,Repetition of guided exercises.,"Economics,Education,Environment/Climate,Politics"
"No, I have not taken any statistics courses",None,"C++ (Been many years, so I forgot it all!)","Clear organized, course content supplemented with practice/project opportunities","Crime,Entertainment (e.g.\, books\, movies\, music),Health (e.g.\, social determinants of health\, medical),Sports"
"Yes, I have taken a high school statistics course",A little — I’ve written a few lines or done small exercises,NA,"Hands on learning, asking questions, having conversations, logical explanations, practicing questions, quizzes/exams, etc. etc. ","Crime,Entertainment (e.g.\, books\, movies\, music),Health (e.g.\, social determinants of health\, medical),Sports"
"Yes, I have taken a high school statistics course",None,R,visual learner ,"Economics,Environment/Climate,Health (e.g.\, social determinants of health\, medical),Sports"
"No, I have not taken any statistics courses",Some — I’ve worked on a few projects or used it occasionally,"Python - foundational 

Javascript - Some high school exercises

HTML - foundational 

 

Haven't coded in 2-3 years.","I am a visual learner and work best when led by example, and also having the chance to practice with support to ask questions.","Entertainment (e.g.\, books\, movies\, music),Environment/Climate,Sports"
"Yes, I have taken a high school statistics course",None,"Python (pretty comfortable)

R (only messed around and don't feel super comfortable)",I learn best through visual aids,"Health (e.g.\, social determinants of health\, medical)"
"Yes, I have taken a high school statistics course",A little — I’ve written a few lines or done small exercises,NA,I learn best through illustrative examples and through doing practice problems/assignments.,"Environment/Climate,Health (e.g.\, social determinants of health\, medical),Politics"
"No, I have not taken any statistics courses",Some — I’ve worked on a few projects or used it occasionally,Python,Visually,"Education,Politics,Sports"
"No, I have not taken any statistics courses",None,NA,watching someone,"Crime,Economics,Entertainment (e.g.\, books\, movies\, music),Politics,Sports"
"Yes, I have taken a high school statistics course",Some — I’ve worked on a few projects or used it occasionally,NA,I learn Visually and with a lot of examples and explanations. ,"Crime,Economics,Education,Entertainment (e.g.\, books\, movies\, music),Environment/Climate,Health (e.g.\, social determinants of health\, medical),Politics,Sports"
"No, I have not taken any statistics courses",Some — I’ve worked on a few projects or used it occasionally,NA,Visually,"Economics,Education,Politics,Sports"
"No, I have not taken any statistics courses",None,NA,I am a hands-on learner. When I can practice something a few times I learn it very well :),"Economics,Education,Entertainment (e.g.\, books\, movies\, music),Sports"
"Yes, I have taken a high school statistics course",A little — I’ve written a few lines or done small exercises,R - somewhat comfortable for a beginner level,I think I learn best when lecture topics are reinforced with individual practice problems/exercises.,"Crime,Entertainment (e.g.\, books\, movies\, music),Health (e.g.\, social determinants of health\, medical),Politics,Sports"
"No, I have not taken any statistics courses",A little — I’ve written a few lines or done small exercises,NA,I am more of a visual learner.,"Health (e.g.\, social determinants of health\, medical)"
"No, I have not taken any statistics courses",Some — I’ve worked on a few projects or used it occasionally,NA,Seeing examples in class/for homework,"Entertainment (e.g.\, books\, movies\, music),Health (e.g.\, social determinants of health\, medical),Sports"
"Yes, I have taken a high school statistics course",A little — I’ve written a few lines or done small exercises,"R, only mildly familiar",I learn best with practice problems and interactive activity,"Crime,Economics,Entertainment (e.g.\, books\, movies\, music),Health (e.g.\, social determinants of health\, medical),Politics"
"Yes, I have taken another college course on statistics",None,"R (quite comfortable), bash (quite comfortable), python (less experience), nextflow (quite comfortable)",Clear instructions and exercises,"Crime,Entertainment (e.g.\, books\, movies\, music),Environment/Climate,Health (e.g.\, social determinants of health\, medical)"
"No, I have not taken any statistics courses",None,I have used R for my recent work/projects and I have very brief experience with python.,"Through consistent practice and clear direction, I also love videos and interactive lessons. ","Economics,Education,Entertainment (e.g.\, books\, movies\, music),Politics"
"Yes, I have taken a high school statistics course",A little — I’ve written a few lines or done small exercises,I have used python before and I feel minimally comfortable with it.,I think I learn best at my own pace and with a lot of help when needed. I also learn better when I truly understand the inner mechanism/reasoning of the material. ,"Entertainment (e.g.\, books\, movies\, music),Politics,Sports"
"No, I have not taken any statistics courses",None,"Java, Python, C, C#, MIPS Assembly, Web3 Suite (HTML, CSS, JS), Typescript, R, Swift","Slowly, and through doing it myself and visually.","Crime,Economics,Health (e.g.\, social determinants of health\, medical),Sports"
"Yes, I have taken a high school statistics course",A little — I’ve written a few lines or done small exercises,"Java, Javascript",Videos,"Education,Health (e.g.\, social determinants of health\, medical)"
"No, I have not taken any statistics courses",Some — I’ve worked on a few projects or used it occasionally,"I have learned Java from AP Computer Science A, and feel comfortable with using it due to the class, and have 2 years of Python experience; with some basic review, I am relatively proficient in both. 

I have some experience in SAS in SAS Viya for past projects. ",By writing things down and learning and when I can go over something again like a recorded lecture ,"Crime,Economics,Education,Entertainment (e.g.\, books\, movies\, music),Environment/Climate,Health (e.g.\, social determinants of health\, medical),Politics"
"No, I have not taken any statistics courses",A little — I’ve written a few lines or done small exercises,NA,I learn best working with classmates and learning collaboratively,"Crime,Education,Entertainment (e.g.\, books\, movies\, music),Health (e.g.\, social determinants of health\, medical)"
"Yes, I have taken a high school statistics course",A lot — I use programming regularly and feel confident writing code,I have programmed with Python before through PsychoPy. It was a very introductory experience and I am not very confident in my programming skills. ,With visuals and hands-on activities.,"Health (e.g.\, social determinants of health\, medical)"
"Yes, I have taken another college course on statistics",None,Python (8/10) and Java (4/10),"Visually , interactively ","Economics,Entertainment (e.g.\, books\, movies\, music),Sports"
"No, I have not taken any statistics courses",None,I've used C++ and R before but aren't very comfortable with either.,"Hands on, step by step teaching and then applying.","Health (e.g.\, social determinants of health\, medical)"
"No, I have not taken any statistics courses",None,I learned python in compsci 101 which I took last semester. I feel pretty comfortable with the basics of python after taking that class.,I learn best through repeated exercises and practice problems.,"Crime,Economics,Environment/Climate,Politics,Sports"
"No, I have not taken any statistics courses",Some — I’ve worked on a few projects or used it occasionally,NA,With practical work. ,"Crime,Economics,Education,Entertainment (e.g.\, books\, movies\, music),Environment/Climate,Health (e.g.\, social determinants of health\, medical),Sports"
"No, I have not taken any statistics courses",A little — I’ve written a few lines or done small exercises,"R, Python","I love it when professors write notes alongside you and audibly explain the steps as they work through practice problems, allowing us to get some independent practice before checking back in with us.","Economics,Health (e.g.\, social determinants of health\, medical),Politics"
"Yes, I have taken a high school statistics course",None,"Java - very comfortable. Python - pretty comfortable. C/C++ - not super comfortable, haven't used since high school.",No specific way,"Health (e.g.\, social determinants of health\, medical),Sports"
"No, I have not taken any statistics courses",A little — I’ve written a few lines or done small exercises,"Java, and not comfortable with it anymore at all. ",Listen then practice,"Health (e.g.\, social determinants of health\, medical)"
"No, I have not taken any statistics courses",None,NA,I learn best by practicing the material.,"Crime,Economics,Education,Entertainment (e.g.\, books\, movies\, music),Environment/Climate,Politics,Sports"
"Yes, I have taken a high school statistics course",A little — I’ve written a few lines or done small exercises,I’ve used JavaScript. ,I learn best through visuals and taking notes. Slow and step by step is helpful. I really appreciate chances to get extra help in STEM disciplines since it is not intuitive to me and often goes very slow.,"Education,Health (e.g.\, social determinants of health\, medical),Politics"
"No, I have not taken any statistics courses",Some — I’ve worked on a few projects or used it occasionally,NA,I work best in small groups and taking notes on lectures.,"Education,Environment/Climate,Health (e.g.\, social determinants of health\, medical),Politics"
"No, I have not taken any statistics courses",A little — I’ve written a few lines or done small exercises,"Python - slightly comfortable

MatLab - slightly comfortable",I learn best with in class activities and homework that helps prepare you for class and tests.,"Crime,Education,Health (e.g.\, social determinants of health\, medical)"
"Yes, I have taken a high school statistics course",A little — I’ve written a few lines or done small exercises,NA,I learn best from practicing certain skills repeatedly and having opportunities to ask questions about the work. ,"Crime,Economics,Entertainment (e.g.\, books\, movies\, music),Health (e.g.\, social determinants of health\, medical),Sports"
"Yes, I have taken a high school statistics course",A little — I’ve written a few lines or done small exercises,NA,I am a visual learner. I learn best by seeing someone do something and then trying it myself with a helper and then finally doing it myself without any external aid.,"Health (e.g.\, social determinants of health\, medical)"
"Yes, I have taken a high school statistics course",None,"R – minimal exposure in internship

Python – minor

Java – haven't coded since high school, but more familiar with it than Python",Learning by practice like using it in projects and excercises. I'm also a visual learner so it definetly helps that there's something that I can see in class. And I prefer paper over screens for reading assignments because they help me focus better.,"Crime,Education,Politics"
"No, I have not taken any statistics courses",None,"Python, pretty comfortable

R, very very little",Practice problems !! they always help me to keep up with the material and apply it,"Education,Entertainment (e.g.\, books\, movies\, music),Health (e.g.\, social determinants of health\, medical),Sports"
"Yes, I have taken another college course on statistics",None,NA,Walk through and in-class exercises,"Health (e.g.\, social determinants of health\, medical)"
"No, I have not taken any statistics courses",A lot — I use programming regularly and feel confident writing code,none,I learn best by doing a lot of practice problems to familiarize myself with the course material.,"Education,Entertainment (e.g.\, books\, movies\, music),Environment/Climate,Health (e.g.\, social determinants of health\, medical),Politics"
"No, I have not taken any statistics courses",A little — I’ve written a few lines or done small exercises,NA,"Visually and step by step, especially with something new like statistics and programming","Economics,Education,Environment/Climate,Health (e.g.\, social determinants of health\, medical),Politics"
"Yes, I have taken a high school statistics course",Some — I’ve worked on a few projects or used it occasionally,NA,"visual, hands on experience, repetition","Economics,Sports"
"Yes, I have taken a high school statistics course",None,"R for a biostat project and Python

I'm okay with R but I'm not that confident using it because my research project was the one time in a long while that I have used any code. R for that project was mostly for stat tests and figure drawing so not that much to be honest.

I did learn Python at a young age and the farthest I got to was web scrapping. But I probably forgot most if not all of the code I learned.

I have no problem following coding logic it's just I had not written code for so long that I've lost confidence. Hoping to regain that here. ",Learning by example and by doing,"Politics,Sports"
"No, I have not taken any statistics courses",None,"I am a computer science major, so I've done a quite a bit of coding. The languages I've mostly use are both python and javascript. As far as, the my comfortability level I would say I am a comfortable with it, however, I can still work on to strengthen my skill set.",I learn best with clear instructions written down,"Health (e.g.\, social determinants of health\, medical)"
"No, I have not taken any statistics courses",Some — I’ve worked on a few projects or used it occasionally,NA,NA,"Crime,Economics,Politics,Sports"
"No, I have not taken any statistics courses",None,NA,I learn best through practice problems and lectures. ,"Crime,Economics,Education,Health (e.g.\, social determinants of health\, medical)"
"Yes, I have taken a high school statistics course",Some — I’ve worked on a few projects or used it occasionally,NA,Self-learning and reading textbook with the aid of AI,"Economics,Entertainment (e.g.\, books\, movies\, music),Environment/Climate,Health (e.g.\, social determinants of health\, medical),Politics,Sports"
"No, I have not taken any statistics courses",Some — I’ve worked on a few projects or used it occasionally,"I have had some experience with python and R, but I have not really coded myself with R, I was using packages and adapting them to my dataset with help of mentors.",practice,"Economics,Environment/Climate,Health (e.g.\, social determinants of health\, medical),Sports"
"Yes, I have taken a high school statistics course",Some — I’ve worked on a few projects or used it occasionally,"Java, very comfortable

C, comfortable

python, less comfortable","Repetition, Multiple methods of explanation, Office Hours ","Crime,Education,Entertainment (e.g.\, books\, movies\, music),Politics,Sports"
"Yes, I have taken a high school statistics course",A little — I’ve written a few lines or done small exercises,"R and Python. I am fairly confident coding with both, although I do not claim to be an expert at either. ",I definitely learn best by practicing on my own and getting help from peers or teachers when I feel confused. I like to be able to practice what we do in class so that I feel confident enough. ,"Crime,Economics,Education,Entertainment (e.g.\, books\, movies\, music),Environment/Climate,Health (e.g.\, social determinants of health\, medical),Politics,Sports"
"No, I have not taken any statistics courses",A little — I’ve written a few lines or done small exercises,java,Handwriting down notes and trying to summarize the class in 5 minutes based on my notes. ,"Economics,Health (e.g.\, social determinants of health\, medical),Other"
"Yes, I have taken a high school statistics course",A little — I’ve written a few lines or done small exercises,NA,I learn best by applying what I learned from lecture through practice problems. ,"Crime,Economics,Sports"
"Yes, I have taken a high school statistics course",None,NA,"No specific form, but talking through ideas and being focused.",Economics
"Yes, I have taken a high school statistics course",None,NA,Group,"Economics,Education,Environment/Climate,Health (e.g.\, social determinants of health\, medical),Politics"
"Yes, I have taken a high school statistics course",None,NA,Visually!,"Entertainment (e.g.\, books\, movies\, music),Environment/Climate,Health (e.g.\, social determinants of health\, medical),Politics,Sports"
"Yes, I have taken a high school statistics course",None,NA,with the ability to rewatch recorded lectures ,"Crime,Sports"
"No, I have not taken any statistics courses",Some — I’ve worked on a few projects or used it occasionally,NA,"I learn best with examples, videos, and practice problems. ","Health (e.g.\, social determinants of health\, medical),Sports"
"No, I have not taken any statistics courses",None,JavaScript (not very comfortable as the last time I coded was in freshman year),application then repeating,"Crime,Economics,Entertainment (e.g.\, books\, movies\, music)"
"No, I have not taken any statistics courses",Some — I’ve worked on a few projects or used it occasionally,NA,"For coding, I like to go through things slowly with plenty of time to debug or ask for help before going on to the next step. ","Crime,Entertainment (e.g.\, books\, movies\, music),Health (e.g.\, social determinants of health\, medical),Politics"
"No, I have not taken any statistics courses",None,"I took cs 101 freshman year and learned python, but I haven't coded in over two years now.",I like in class exercises where I can get help from people and also learn from my teammates. ,"Economics,Health (e.g.\, social determinants of health\, medical),Politics"
"Yes, I have taken another college course on statistics",None,"Java: AP Computer Science A experience, so pretty confident.

VBA: Used for a semester long project but not very confident in it anymore.",Visual learner and through practice problems and examples,"Education,Health (e.g.\, social determinants of health\, medical)"
"No, I have not taken any statistics courses",None,"I took AP Computer Science A in high school and learned Java. However, I have not used it recently. ","Visual aids, slower paced, clear instruction.","Entertainment (e.g.\, books\, movies\, music),Politics,Sports"
"No, I have not taken any statistics courses",None,NA,taking notes,"Economics,Politics,Sports"
"No, I have not taken any statistics courses",None,I've used python to write simple statistical functions a while ago so much is forgotten. I started learning R by myself but retained little of it.,Through lectures and step-by-step teaching with a lot of examples before practice by myself. ,"Crime,Education,Entertainment (e.g.\, books\, movies\, music),Environment/Climate,Health (e.g.\, social determinants of health\, medical),Politics"
"No, I have not taken any statistics courses",None,NA,"I learn best by first learning the reasoning behind concepts then applying them in problems, projects, etc.","Health (e.g.\, social determinants of health\, medical)"
"No, I have not taken any statistics courses",A little — I’ve written a few lines or done small exercises,C++ relatively comfortable but used a long time ago,visual learning!,No preference
"No, I have not taken any statistics courses",A little — I’ve written a few lines or done small exercises,NA,"Through practice problems, taking notes, and asking questions","Environment/Climate,Health (e.g.\, social determinants of health\, medical)"
"Yes, I have taken a high school statistics course",None,NA,Through practical application and following demos from instructors ,"Crime,Economics,Politics"
"Yes, I have taken a high school statistics course",Some — I’ve worked on a few projects or used it occasionally,Python - not very comfortable ,"I am a visual learner, lecture slides are particularly helpful in facilitating my understanding of novel concepts.","Health (e.g.\, social determinants of health\, medical),Sports"
"Yes, I have taken a high school statistics course",None,I have not programmed before. ,Project based learning with help and guidance when requested ,"Economics,Education,Environment/Climate,Health (e.g.\, social determinants of health\, medical),Other"
"No, I have not taken any statistics courses",A little — I’ve written a few lines or done small exercises,NA,"I like trying things on my own before being guided in the right direction, I find that lets me understand the content I'm learning a little better. ",No preference
"Yes, I have taken a high school statistics course",None,NA,"With very clear, step-by-step instruction","Education,Environment/Climate"
"Yes, I have taken another college course on statistics",A lot — I use programming regularly and feel confident writing code,Python - pretty comfortable,Teaching and then practice,"Crime,Education,Entertainment (e.g.\, books\, movies\, music),Health (e.g.\, social determinants of health\, medical)"
"No, I have not taken any statistics courses",A little — I’ve written a few lines or done small exercises,NA,Practice based learning ,"Crime,Environment/Climate,Health (e.g.\, social determinants of health\, medical),Sports"
"Yes, I have taken a high school statistics course",None,NA,Seeing examples,"Education,Entertainment (e.g.\, books\, movies\, music),Health (e.g.\, social determinants of health\, medical),Politics,Sports"
"No, I have not taken any statistics courses",A lot — I use programming regularly and feel confident writing code,NA,"With lots of examples and resources, specifically videos.  ","Economics,Sports"
"Yes, I have taken a high school statistics course",Some — I’ve worked on a few projects or used it occasionally,NA,From a textbook.,"Crime,Education,Entertainment (e.g.\, books\, movies\, music),Health (e.g.\, social determinants of health\, medical),Politics"
"No, I have not taken any statistics courses",None,NA,By doing practice problems and projects that allow me to obtain hands-on experience,"Crime,Health (e.g.\, social determinants of health\, medical),Sports"
"No, I have not taken any statistics courses",Some — I’ve worked on a few projects or used it occasionally,"Python - Decent

Java - Basic",practice,"Crime,Education,Politics"
"No, I have not taken any statistics courses",A little — I’ve written a few lines or done small exercises,Java - learned this about six years ago so it's been a while,A lot of practice problems and practice tests,"Economics,Sports"
"No, I have not taken any statistics courses",None,"Java, Python",By doing,"Crime,Economics,Environment/Climate,Health (e.g.\, social determinants of health\, medical),Politics,Sports"
"No, I have not taken any statistics courses",A lot — I use programming regularly and feel confident writing code,NA,Visual representation,"Crime,Environment/Climate,Health (e.g.\, social determinants of health\, medical),Politics,Sports"
"No, I have not taken any statistics courses",None,"JavaScript, Python, C++","one on one teaching, being shown how to do things","Economics,Entertainment (e.g.\, books\, movies\, music),Environment/Climate"
"No, I have not taken any statistics courses",Some — I’ve worked on a few projects or used it occasionally,"R, Java, Python

Very comfortable in R and Java, not as comfortable but familiar with Python.",Completing practice problems,"Health (e.g.\, social determinants of health\, medical)"
"Yes, I have taken a high school statistics course",A lot — I use programming regularly and feel confident writing code,"java, javascript, python, c. I am very comfortable in all but C",Continuous review ,"Education,Environment/Climate,Health (e.g.\, social determinants of health\, medical),Sports"
"No, I have not taken any statistics courses",A little — I’ve written a few lines or done small exercises,NA,"trial and error, teaching others, figuring things out myself","Crime,Education,Entertainment (e.g.\, books\, movies\, music),Environment/Climate,Politics"
"No, I have not taken any statistics courses",A little — I’ve written a few lines or done small exercises,"Recently I've been writing a lot of Python, but before that my main was Java, I can also work with C and C++ basics.

I feel most comfortable with Python and Java right now.",With visual examples to help me see what I am envisioning. I also like to talk ideas out aloud.,"Crime,Entertainment (e.g.\, books\, movies\, music),Health (e.g.\, social determinants of health\, medical),Sports"
"Yes, I have taken another college course on statistics",A lot — I use programming regularly and feel confident writing code,Python and HTML (A bit shaky),I learn best through an environment where I can comfortable ask questions and thrive in discussions where peers can help each other. I love hands-on and creative activities that challenge me or review material to maintain information we have learned in class. ,"Crime,Entertainment (e.g.\, books\, movies\, music),Environment/Climate,Health (e.g.\, social determinants of health\, medical),Politics,Sports"
"Yes, I have taken a high school statistics course",A little — I’ve written a few lines or done small exercises,"Python - very comfortable

Java - pretty comfortable

HTML/JS/CSS - not a lot of experience",practice practice pratice,"Environment/Climate,Other"
"No, I have not taken any statistics courses",Some — I’ve worked on a few projects or used it occasionally,I have programmed with Python in the past. I am pretty comfortable with it and understand all the basic commands of Python. I have done small mini-projects with Python but nothing extensive. ,Interactive exercises in class and having time to ask questions in lecture.,"Economics,Education,Environment/Climate,Health (e.g.\, social determinants of health\, medical)"
"Yes, I have taken a high school statistics course",A lot — I use programming regularly and feel confident writing code,Java ,By applying learnings in exercises.,"Crime,Entertainment (e.g.\, books\, movies\, music),Environment/Climate,Health (e.g.\, social determinants of health\, medical),Politics,Other"
"No, I have not taken any statistics courses",Some — I’ve worked on a few projects or used it occasionally,NA,In a quiet environment ,"Economics,Entertainment (e.g.\, books\, movies\, music),Sports"
"No, I have not taken any statistics courses",None,"python

 very comfortable",I'm a visual and hands on learner.,"Crime,Education,Environment/Climate,Health (e.g.\, social determinants of health\, medical),Politics,Sports"
"No, I have not taken any statistics courses",Some — I’ve worked on a few projects or used it occasionally,python,By doing and by watching others and having someone explain and walk me through. ,"Crime,Education,Entertainment (e.g.\, books\, movies\, music),Environment/Climate,Politics,Sports"
"Yes, I have taken a high school statistics course",A little — I’ve written a few lines or done small exercises,"Java: Pretty comfortable

C++: Used to be super fluent, but pretty rusty now (haven't touched it for a while)

Python: Pretty comfortable, although I learned it through actual experience rather than systematic learning, so I'm very comfortable with a few libraries but might fumble elsewhere

R: Learned it in my stats class last year, somehow became the designated programmer for all project assignments, so I am pretty comfortable with it as well",Team based learning,NA
"No, I have not taken any statistics courses",Some — I’ve worked on a few projects or used it occasionally,n/a,Practice problems and working in groups,"Crime,Economics,Entertainment (e.g.\, books\, movies\, music),Health (e.g.\, social determinants of health\, medical)"
"No, I have not taken any statistics courses",A lot — I use programming regularly and feel confident writing code,"Python. I took compsci 101 which is a beginner's class, so I am not 100% comfortable using it. Just basic knowledge!",Hands on through practice.,Sports
